sensor_record_id,aircraft_id,reading_date,flight_hours_at_reading,egt_celsius,oil_pressure_psi,vibration_ips,fuel_flow_kgh,bleed_air_temp_c,anomaly_flag
SNS000030,AC001,2022-05-06,33440,926.1,55.97,0.77,2403.9,200.2,0
SNS000031,AC001,2022-10-07,33448,925.0,70.84,0.842,2262.5,212.5,0
SNS000032,AC001,2022-06-26,33456,936.4,68.49,0.878,2490.9,196.3,0
SNS000033,AC001,2023-09-12,33464,928.0,73.82,0.305,2500.5,236.8,0
SNS000034,AC001,2024-08-26,33472,920.0,53.48,0.718,2411.7,235.4,0
SNS000035,AC001,2024-08-03,33480,931.0,61.38,0.261,2219.6,245.6,0
SNS000036,AC001,2022-08-26,33488,922.4,50.61,0.74,2409.6,250.6,0
SNS000037,AC001,2023-02-22,33496,928.4,84.45,0.147,2245.0,248.7,0
SNS000038,AC001,2022-03-12,33504,916.1,65.87,0.589,2378.0,231.6,0
SNS000039,AC001,2022-05-24,33512,921.3,71.74,0.36,2280.2,195.1,0
SNS000040,AC001,2022-08-09,33520,929.5,79.33,0.15,2177.0,233.7,0
SNS000041,AC001,2023-01-29,33528,930.5,83.32,0.694,2448.1,187.5,0
SNS000042,AC001,2022-11-07,33536,927.3,62.04,0.8,2299.3,184.3,0
SNS000043,AC001,2023-09-08,33544,929.9,72.85,0.687,2134.6,218.7,0
SNS000044,AC001,2022-01-24,33552,928.5,53.14,0.567,2381.6,229.5,0
SNS000045,AC001,2024-11-02,33560,922.4,63.62,0.156,2506.6,182.4,0
SNS000046,AC001,2023-05-05,33568,925.9,75.76,0.144,2543.7,199.9,0
SNS000047,AC001,2023-06-24,33576,926.5,61.75,0.889,2138.3,251.5,0
SNS000048,AC001,2024-08-30,33584,935.3,58.23,0.789,2348.0,207.7,0
SNS000049,AC001,2022-11-11,33592,929.2,79.07,0.483,2213.0,246.0,0
SNS000050,AC001,2023-03-04,33600,917.2,45.87,0.265,2348.7,231.4,0
SNS000051,AC001,2022-06-07,33608,927.6,83.74,0.645,2588.3,184.4,0
SNS000052,AC001,2024-06-19,33616,929.9,83.09,0.901,2479.8,225.9,0
SNS000053,AC001,2024-02-16,33624,927.8,52.55,0.474,2534.8,181.8,0
SNS000054,AC001,2023-12-09,33632,932.5,55.72,0.857,2531.3,257.4,0
SNS000055,AC001,2024-03-24,33640,935.4,54.23,0.702,2593.4,199.8,0
SNS000056,AC001,2024-08-02,33648,930.5,64.57,0.701,2259.1,245.5,0
SNS000057,AC001,2022-02-24,33656,925.5,79.13,0.179,2428.0,224.8,0
SNS000058,AC001,2023-02-10,33664,925.8,53.35,0.287,2115.3,240.2,0
SNS000059,AC001,2023-11-23,33672,933.9,75.35,0.374,2540.8,223.3,0
SNS000060,AC001,2024-12-13,33680,934.6,69.38,0.648,2221.7,206.8,0
SNS000061,AC001,2022-01-11,33688,929.7,63.94,0.253,2525.5,206.0,0
SNS000062,AC001,2022-10-17,33696,930.1,66.35,0.403,2237.2,205.3,0
SNS000063,AC001,2022-08-19,33704,921.7,75.48,0.83,2577.4,242.5,0
SNS000064,AC001,2023-03-16,33712,927.1,64.9,0.276,2475.5,214.3,0
SNS000065,AC001,2023-02-27,33720,934.2,63.98,0.446,2381.3,230.8,0
SNS000066,AC001,2022-10-25,33728,940.5,65.34,0.173,2447.4,212.9,0
SNS000067,AC001,2024-11-28,33736,928.0,61.44,0.76,2358.6,239.0,0
SNS000068,AC001,2023-06-29,33744,931.5,54.02,0.724,2165.1,212.0,0
SNS000069,AC001,2022-08-05,33752,931.5,58.27,0.262,2321.1,212.0,0
SNS000070,AC001,2022-09-07,33760,924.8,65.16,0.122,2151.7,239.9,0
SNS000071,AC001,2023-07-06,33768,929.8,47.81,0.47,2372.0,236.5,0
SNS000072,AC001,2023-03-15,33776,939.9,79.87,0.198,2369.5,189.5,0
SNS000073,AC001,2023-09-21,33784,929.2,45.74,0.284,2287.5,187.1,0
SNS000074,AC001,2022-12-07,33792,937.4,74.41,0.752,2270.8,236.7,0
SNS000075,AC001,2023-07-07,33800,916.4,58.51,0.332,2470.8,220.1,0
SNS000076,AC001,2023-05-21,33808,933.6,74.6,0.866,2571.5,257.7,0
SNS000077,AC001,2023-04-20,33816,931.2,47.93,0.346,2113.7,203.2,0
SNS000078,AC001,2023-07-13,33824,930.7,56.8,0.933,2523.8,208.3,0
SNS000079,AC001,2024-04-20,33832,934.3,45.19,0.332,2103.5,186.9,1
SNS000080,AC001,2024-04-27,33840,922.6,49.69,0.538,2174.9,197.6,0
SNS000081,AC001,2024-08-23,33848,934.3,71.38,0.708,2425.8,238.1,1
SNS000082,AC001,2023-03-02,33856,931.9,65.64,0.557,2429.1,250.0,0
SNS000083,AC001,2023-10-28,33864,942.3,69.18,0.17,2495.0,195.5,0
SNS000084,AC001,2022-06-24,33872,927.8,81.14,0.419,2371.8,185.6,0
SNS000085,AC001,2024-04-23,33880,930.7,75.58,0.837,2476.8,255.8,0
SNS000086,AC001,2024-12-16,33888,930.5,66.61,0.294,2472.8,217.9,0
SNS000087,AC001,2022-02-01,33896,938.4,50.96,0.537,2385.2,237.0,0
SNS000088,AC001,2022-09-12,33904,931.2,51.73,0.89,2227.5,229.0,0
SNS000089,AC001,2024-03-03,33912,928.3,57.51,0.244,2142.3,239.4,0
SNS000090,AC001,2024-09-01,33920,938.4,71.77,0.441,2317.6,218.0,0
SNS000091,AC001,2022-01-16,33928,937.9,48.18,0.939,2471.2,259.7,1
SNS000092,AC001,2022-05-17,33936,938.7,61.92,0.364,2330.5,233.0,0
SNS000093,AC001,2023-10-16,33944,929.7,53.49,0.684,2508.1,236.9,0
SNS000094,AC001,2022-11-29,33952,929.7,80.68,0.546,2343.2,187.3,0
SNS000095,AC001,2022-04-05,33960,924.9,62.55,0.485,2583.0,188.3,0
SNS000096,AC001,2023-08-05,33968,926.8,57.54,0.473,2137.4,239.1,0
SNS000097,AC001,2023-07-09,33976,938.6,74.84,0.916,2250.9,202.5,1
SNS000098,AC001,2023-08-14,33984,929.8,72.81,0.63,2544.8,199.6,0
SNS000099,AC001,2023-12-20,33992,936.2,75.31,0.869,2546.0,196.2,0
SNS000100,AC001,2022-12-13,34000,933.8,76.32,0.724,2529.7,232.7,0
SNS000101,AC001,2022-09-13,34008,927.8,45.87,0.264,2542.6,210.3,1
SNS000102,AC001,2024-08-25,34016,925.5,47.98,0.531,2164.9,238.3,0
SNS000103,AC001,2022-05-13,34024,935.7,78.3,0.934,2579.9,234.0,0
SNS000104,AC001,2023-07-23,34032,923.4,73.56,0.117,2463.9,189.7,0
SNS000105,AC001,2024-05-03,34040,927.2,56.66,0.44,2227.3,237.0,0
SNS000106,AC001,2022-06-17,34048,941.7,83.44,0.862,2220.6,240.7,0
SNS000107,AC001,2023-09-14,34056,938.3,75.25,0.821,2344.7,256.8,0
SNS000108,AC001,2024-11-23,34064,940.1,77.83,0.787,2585.0,194.8,0
SNS000109,AC001,2024-09-15,34072,941.4,65.8,0.85,2464.0,216.7,0
SNS000110,AC001,2022-09-05,34080,935.1,57.51,0.294,2565.7,192.5,1
SNS000111,AC001,2022-03-05,34088,924.8,50.53,0.283,2341.5,257.7,0
SNS000112,AC001,2024-04-17,34096,936.0,60.29,0.175,2370.6,208.8,1
SNS000113,AC001,2023-02-21,34104,934.9,52.58,0.608,2598.7,216.7,0
SNS000114,AC001,2024-04-04,34112,950.0,70.41,0.274,2154.2,237.4,1
SNS000115,AC001,2023-01-22,34120,935.8,73.56,0.17,2478.5,227.5,1
SNS000116,AC001,2024-07-04,34128,928.8,54.54,0.531,2130.4,230.5,0
SNS000117,AC001,2024-05-03,34136,940.3,71.58,0.529,2503.8,226.4,0
SNS000118,AC001,2024-10-18,34144,933.0,75.33,0.738,2385.3,251.1,0
SNS000119,AC001,2023-07-14,34152,940.1,67.74,0.688,2445.8,219.3,0
SNS000120,AC001,2024-06-20,34160,943.9,80.78,0.32,2304.9,184.7,0
SNS000121,AC001,2023-08-10,34168,941.2,54.47,0.437,2258.3,190.7,0
SNS000122,AC001,2024-01-09,34176,932.9,47.29,0.644,2180.1,188.2,1
SNS000123,AC001,2023-07-10,34184,941.7,67.06,0.155,2559.7,183.2,0
SNS000124,AC001,2022-09-29,34192,931.9,45.99,0.523,2189.8,228.9,1
SNS000125,AC001,2022-04-30,34200,933.2,78.21,0.441,2576.0,200.5,0
SNS000126,AC001,2022-12-18,34208,953.3,58.05,0.545,2220.8,228.9,1
SNS000127,AC001,2022-03-09,34216,938.3,61.57,0.815,2229.0,240.8,1
SNS000128,AC001,2023-04-11,34224,929.6,61.5,0.415,2423.6,201.7,0
SNS000129,AC001,2024-09-07,34232,933.5,49.14,0.71,2200.1,240.8,0
SNS000130,AC001,2022-02-20,34240,925.4,76.58,0.791,2539.9,212.0,0
SNS000131,AC001,2024-04-15,34248,929.3,52.08,0.273,2317.2,197.4,0
SNS000132,AC002,2023-12-28,70445,884.3,51.37,0.857,2359.8,217.2,0
SNS000133,AC002,2023-03-25,70453,878.7,52.06,0.37,2389.9,188.2,0
SNS000134,AC002,2023-04-23,70461,886.6,73.67,0.761,2466.7,237.2,0
SNS000135,AC002,2022-04-19,70469,879.4,72.71,0.35,2427.5,200.1,0
SNS000136,AC002,2022-03-11,70477,891.9,62.81,0.315,2195.5,251.0,0
SNS000137,AC002,2023-02-07,70485,880.6,70.24,0.533,2505.3,196.8,0
SNS000138,AC002,2023-07-30,70493,882.7,70.34,0.877,2163.9,231.7,0
SNS000139,AC002,2022-01-26,70501,888.4,53.73,0.183,2361.9,236.9,0
SNS000140,AC002,2024-02-01,70509,878.7,72.39,0.196,2574.7,225.7,0
SNS000141,AC002,2024-02-29,70517,885.9,80.66,0.626,2293.1,209.6,0
SNS000142,AC002,2024-01-01,70525,891.1,74.06,0.656,2147.9,219.2,0
SNS000143,AC002,2023-04-01,70533,876.8,71.66,0.452,2115.1,196.5,0
SNS000144,AC002,2022-10-25,70541,886.1,62.89,0.624,2595.4,228.2,0
SNS000145,AC002,2024-12-05,70549,886.4,69.55,0.316,2580.8,222.1,0
SNS000146,AC002,2023-03-14,70557,889.3,67.74,0.284,2328.4,252.8,0
SNS000147,AC002,2024-08-17,70565,879.8,71.87,0.525,2208.8,196.9,0
SNS000148,AC002,2024-02-02,70573,877.7,51.56,0.577,2287.1,226.5,0
SNS000149,AC002,2024-05-11,70581,889.0,76.67,0.736,2440.5,238.2,0
SNS000150,AC002,2022-09-19,70589,886.6,60.73,0.453,2555.8,231.9,0
SNS000151,AC002,2024-04-09,70597,887.1,75.5,0.432,2328.9,259.2,0
SNS000152,AC002,2024-10-09,70605,887.2,48.6,0.346,2384.1,234.3,0
SNS000153,AC002,2024-05-27,70613,881.6,67.27,0.392,2407.8,251.2,0
SNS000154,AC002,2022-01-02,70621,886.2,58.29,0.354,2528.3,210.5,0
SNS000155,AC002,2022-11-09,70629,886.2,59.02,0.711,2221.0,234.2,0
SNS000156,AC002,2023-08-28,70637,881.5,71.95,0.437,2398.3,200.6,0
SNS000157,AC002,2023-11-21,70645,896.7,56.21,0.278,2381.4,205.6,0
SNS000158,AC002,2023-08-09,70653,888.2,62.23,0.64,2284.0,186.0,0
SNS000159,AC002,2022-04-30,70661,880.3,53.45,0.155,2469.2,187.3,0
SNS000160,AC002,2022-10-27,70669,890.5,82.47,0.868,2290.1,210.1,0
SNS000161,AC002,2022-12-10,70677,881.0,60.43,0.745,2202.4,236.4,0
SNS000162,AC002,2023-01-16,70685,889.1,74.06,0.334,2352.5,201.4,0
SNS000163,AC002,2023-03-14,70693,892.8,47.31,0.649,2102.5,187.7,0
SNS000164,AC002,2022-09-11,70701,880.6,45.34,0.543,2315.4,237.6,0
SNS000165,AC002,2022-02-16,70709,892.6,52.93,0.806,2177.1,204.8,0
SNS000166,AC002,2024-07-05,70717,890.1,66.89,0.577,2445.4,233.2,0
SNS000167,AC002,2024-11-18,70725,890.4,59.29,0.863,2145.7,259.3,0
SNS000168,AC002,2022-04-30,70733,897.8,69.21,0.141,2198.9,187.7,0
SNS000169,AC002,2024-04-29,70741,884.9,82.29,0.677,2430.9,231.1,0
SNS000170,AC002,2022-08-09,70749,881.0,58.92,0.497,2223.5,201.8,0
SNS000171,AC002,2024-06-10,70757,885.1,77.85,0.332,2346.9,197.1,0
SNS000172,AC002,2023-04-24,70765,883.5,75.36,0.824,2472.1,242.9,0
SNS000173,AC002,2023-10-29,70773,885.1,82.58,0.132,2265.9,214.9,0
SNS000174,AC002,2022-06-29,70781,889.5,62.31,0.758,2251.5,215.9,0
SNS000175,AC002,2022-07-05,70789,889.5,81.48,0.553,2218.2,215.6,0
SNS000176,AC002,2023-05-18,70797,893.6,58.64,0.613,2301.6,205.5,0
SNS000177,AC002,2023-03-15,70805,887.8,60.42,0.717,2128.9,199.2,0
SNS000178,AC002,2024-11-13,70813,897.3,70.19,0.793,2295.0,211.5,0
SNS000179,AC002,2022-12-05,70821,885.2,53.64,0.732,2216.1,200.1,0
SNS000180,AC002,2024-04-10,70829,902.2,51.6,0.213,2510.1,234.9,0
SNS000181,AC002,2024-03-07,70837,888.2,54.29,0.467,2102.6,223.7,0
SNS000182,AC002,2023-03-06,70845,882.8,57.1,0.613,2290.9,180.1,0
SNS000183,AC002,2023-09-06,70853,883.5,46.85,0.506,2229.8,202.1,0
SNS000184,AC002,2024-05-31,70861,892.4,67.71,0.656,2540.7,214.1,0
SNS000185,AC002,2023-01-17,70869,885.1,77.27,0.147,2477.3,238.2,0
SNS000186,AC002,2024-04-09,70877,893.5,83.56,0.571,2304.4,220.2,0
SNS000187,AC002,2022-05-24,70885,892.0,80.55,0.164,2493.9,204.2,0
SNS000188,AC002,2023-10-05,70893,888.5,53.37,0.298,2165.5,223.5,0
SNS000189,AC002,2024-04-01,70901,880.9,77.48,0.518,2257.8,180.0,0
SNS000190,AC002,2022-02-23,70909,878.8,58.31,0.796,2196.5,221.5,0
SNS000191,AC002,2022-08-05,70917,890.5,79.49,0.199,2527.8,244.9,1
SNS000192,AC002,2022-07-13,70925,896.9,47.83,0.443,2127.4,239.8,1
SNS000193,AC002,2022-07-05,70933,891.0,68.71,0.746,2158.0,253.1,0
SNS000194,AC002,2024-02-05,70941,879.2,59.1,0.204,2147.4,245.0,0
SNS000195,AC002,2023-04-01,70949,892.9,67.25,0.566,2140.7,214.6,1
SNS000196,AC002,2022-06-07,70957,891.2,65.92,0.64,2405.2,191.8,0
SNS000197,AC002,2023-02-22,70965,886.8,74.32,0.895,2524.8,252.6,0
SNS000198,AC002,2024-01-19,70973,886.2,81.59,0.669,2400.1,186.7,0
SNS000199,AC002,2023-03-27,70981,887.4,50.31,0.726,2239.7,208.2,0
SNS000200,AC002,2022-10-04,70989,880.0,79.69,0.796,2504.2,183.3,0
SNS000201,AC002,2022-04-17,70997,895.6,77.09,0.532,2438.1,254.9,0
SNS000202,AC002,2024-01-14,71005,892.9,58.34,0.254,2324.5,223.3,0
SNS000203,AC002,2024-03-06,71013,894.5,47.22,0.86,2573.6,194.5,0
SNS000204,AC002,2024-04-28,71021,898.0,73.74,0.721,2424.8,253.3,1
SNS000205,AC002,2024-01-29,71029,887.5,61.13,0.544,2146.7,188.8,0
SNS000206,AC002,2022-04-09,71037,888.7,46.59,0.213,2160.7,238.4,1
SNS000207,AC002,2023-04-17,71045,896.5,68.58,0.637,2210.8,184.7,0
SNS000208,AC002,2024-11-06,71053,895.6,67.32,0.878,2129.8,243.0,0
SNS000209,AC002,2023-08-06,71061,896.2,57.66,0.493,2429.1,220.4,1
SNS000210,AC002,2022-08-04,71069,913.3,79.25,0.714,2416.6,225.7,0
SNS000211,AC002,2022-04-10,71077,898.3,58.22,0.433,2144.5,191.3,0
SNS000212,AC002,2023-03-21,71085,899.5,44.25,0.247,2493.0,242.1,1
SNS000213,AC002,2022-01-28,71093,893.0,74.46,0.767,2519.9,250.1,0
SNS000214,AC002,2022-06-04,71101,896.2,64.08,0.227,2119.1,242.0,1
SNS000215,AC002,2023-07-14,71109,888.6,57.4,0.356,2537.6,182.4,0
SNS000216,AC002,2024-04-07,71117,889.5,72.02,0.789,2266.2,252.7,0
SNS000217,AC002,2024-10-24,71125,882.2,77.9,0.664,2328.4,207.2,0
SNS000218,AC002,2024-06-04,71133,891.1,52.98,0.636,2373.2,246.6,0
SNS000219,AC002,2022-03-25,71141,888.8,49.94,0.922,2139.1,191.4,0
SNS000220,AC002,2022-02-02,71149,889.4,58.86,0.869,2598.4,215.4,0
SNS000221,AC002,2024-06-01,71157,899.4,78.53,0.659,2413.6,203.0,0
SNS000222,AC002,2024-04-11,71165,885.2,68.13,0.856,2503.2,195.6,0
SNS000223,AC002,2023-08-09,71173,895.0,65.21,0.642,2161.7,259.1,0
SNS000224,AC002,2024-02-08,71181,888.4,56.56,0.888,2167.4,242.6,1
SNS000225,AC002,2022-09-23,71189,890.8,61.92,0.457,2160.5,211.2,0
SNS000226,AC002,2024-03-28,71197,896.6,75.0,0.383,2361.0,201.6,0
SNS000227,AC002,2024-03-30,71205,897.0,67.51,0.669,2493.1,213.0,1
SNS000228,AC002,2022-09-13,71213,885.4,59.45,0.806,2473.0,245.7,0
SNS000229,AC002,2023-08-28,71221,882.9,47.27,0.404,2567.4,256.1,0
SNS000230,AC002,2023-02-27,71229,890.4,82.21,0.373,2236.8,256.9,0
SNS000231,AC003,2024-03-10,59408,834.5,45.03,0.357,2518.5,247.0,0
SNS000232,AC003,2023-09-25,59416,839.3,80.13,0.463,2154.0,256.5,0
SNS000233,AC003,2022-04-26,59424,838.5,51.0,0.601,2554.1,251.8,0
SNS000234,AC003,2023-11-08,59432,835.0,48.49,0.676,2357.5,209.7,0
SNS000235,AC003,2024-04-27,59440,849.0,69.5,0.764,2215.0,233.1,0
SNS000236,AC003,2023-05-12,59448,841.5,74.0,0.67,2103.3,186.8,0
SNS000237,AC003,2022-10-28,59456,828.9,68.06,0.837,2544.6,198.1,0
SNS000238,AC003,2022-08-12,59464,840.0,56.0,0.663,2499.4,202.5,0
SNS000239,AC003,2022-03-05,59472,835.9,66.43,0.737,2356.0,201.2,0
SNS000240,AC003,2023-02-08,59480,843.4,70.31,0.806,2340.9,241.0,0
SNS000241,AC003,2022-11-06,59488,835.3,57.04,0.711,2148.3,189.2,0
SNS000242,AC003,2024-12-23,59496,838.0,48.67,0.496,2570.2,249.2,0
SNS000243,AC003,2024-11-24,59504,841.1,49.33,0.114,2121.3,234.5,0
SNS000244,AC003,2024-02-24,59512,843.0,57.38,0.881,2271.9,217.1,0
SNS000245,AC003,2024-06-10,59520,833.9,72.0,0.398,2336.7,257.8,0
SNS000246,AC003,2023-12-12,59528,838.5,61.48,0.724,2250.3,221.8,0
SNS000247,AC003,2024-12-27,59536,836.4,74.9,0.897,2512.0,191.9,0
SNS000248,AC003,2023-09-29,59544,835.9,52.33,0.616,2201.3,189.3,0
SNS000249,AC003,2024-08-12,59552,849.6,71.92,0.719,2376.8,206.5,0
SNS000250,AC003,2023-05-27,59560,841.2,59.52,0.548,2363.6,220.9,0
SNS000251,AC003,2024-08-24,59568,832.7,84.4,0.457,2336.4,210.4,0
SNS000252,AC003,2024-02-15,59576,845.1,66.06,0.544,2584.9,203.9,0
SNS000253,AC003,2024-10-22,59584,850.5,73.75,0.212,2412.9,205.1,0
SNS000254,AC003,2022-05-28,59592,845.8,77.61,0.686,2295.0,208.8,0
SNS000255,AC003,2023-01-24,59600,831.4,76.01,0.671,2298.1,187.6,0
SNS000256,AC003,2022-03-12,59608,837.8,56.62,0.829,2141.1,243.2,0
SNS000257,AC003,2023-06-24,59616,845.8,70.3,0.204,2502.6,186.5,0
SNS000258,AC003,2023-08-10,59624,836.4,68.46,0.803,2291.0,204.5,0
SNS000259,AC003,2024-08-02,59632,842.1,82.09,0.279,2397.6,229.0,0
SNS000260,AC003,2024-09-07,59640,843.0,49.8,0.786,2213.4,245.5,0
SNS000261,AC003,2023-07-21,59648,837.2,81.95,0.25,2316.1,229.2,0
SNS000262,AC003,2022-02-28,59656,838.9,74.9,0.702,2495.9,204.2,0
SNS000263,AC003,2023-08-27,59664,823.9,68.8,0.401,2455.7,236.1,0
SNS000264,AC003,2024-04-26,59672,836.4,74.01,0.536,2146.2,254.6,0
SNS000265,AC003,2024-11-14,59680,839.4,82.67,0.909,2504.5,190.5,0
SNS000266,AC003,2024-01-21,59688,835.2,50.81,0.602,2208.7,215.0,0
SNS000267,AC003,2023-03-26,59696,849.5,64.33,0.346,2533.7,256.2,0
SNS000268,AC003,2023-03-08,59704,832.8,51.23,0.258,2535.5,205.7,0
SNS000269,AC003,2022-03-25,59712,841.3,62.02,0.359,2203.4,189.4,0
SNS000270,AC003,2023-10-02,59720,843.3,79.69,0.825,2362.7,243.8,0
SNS000271,AC003,2024-08-06,59728,847.8,63.62,0.799,2227.9,216.7,0
SNS000272,AC003,2023-03-29,59736,834.0,61.15,0.913,2481.2,212.2,0
SNS000273,AC003,2022-01-08,59744,848.5,62.52,0.892,2169.6,248.4,0
SNS000274,AC003,2022-11-13,59752,839.7,83.53,0.738,2422.5,190.2,0
SNS000275,AC003,2023-03-12,59760,839.0,64.56,0.821,2368.6,218.5,0
SNS000276,AC003,2023-06-20,59768,845.8,49.81,0.336,2495.2,227.9,0
SNS000277,AC003,2023-02-09,59776,845.2,80.65,0.708,2280.1,226.9,0
SNS000278,AC003,2024-06-01,59784,839.6,71.05,0.151,2301.1,232.8,0
SNS000279,AC003,2024-03-24,59792,839.7,55.81,0.388,2215.8,194.5,0
SNS000280,AC003,2023-06-01,59800,841.4,55.07,0.924,2360.5,238.2,0
SNS000281,AC003,2022-07-07,59808,840.5,65.66,0.356,2530.1,214.6,0
SNS000282,AC003,2022-07-20,59816,843.5,55.25,0.205,2536.5,239.9,0
SNS000283,AC003,2024-08-15,59824,850.9,48.05,0.73,2109.5,224.7,0
SNS000284,AC003,2023-04-07,59832,838.5,54.45,0.892,2147.4,235.1,0
SNS000285,AC003,2023-11-24,59840,854.0,81.51,0.716,2510.1,244.5,0
SNS000286,AC003,2024-02-02,59848,833.6,54.8,0.185,2223.4,225.9,0
SNS000287,AC003,2023-02-09,59856,845.2,52.56,0.822,2196.7,235.1,0
SNS000288,AC003,2023-11-21,59864,846.5,51.55,0.447,2313.8,219.4,0
SNS000289,AC003,2024-09-26,59872,843.5,52.99,0.75,2312.6,196.7,0
SNS000290,AC003,2023-09-25,59880,836.9,55.09,0.586,2392.4,197.6,0
SNS000291,AC003,2022-02-18,59888,845.8,70.23,0.783,2189.6,242.9,1
SNS000292,AC003,2023-01-29,59896,838.5,69.0,0.658,2345.0,212.5,0
SNS000293,AC003,2024-01-15,59904,843.4,45.5,0.201,2212.0,188.5,0
SNS000294,AC003,2022-01-01,59912,846.2,51.96,0.278,2585.9,220.0,0
SNS000295,AC003,2022-11-17,59920,847.5,54.7,0.606,2106.4,180.2,0
SNS000296,AC003,2024-12-10,59928,844.0,47.96,0.894,2488.7,252.6,0
SNS000297,AC003,2024-07-31,59936,850.0,45.01,0.808,2590.4,232.7,0
SNS000298,AC003,2022-07-03,59944,844.0,80.8,0.301,2430.7,182.1,0
SNS000299,AC003,2024-07-19,59952,849.0,67.21,0.503,2215.6,216.2,0
SNS000300,AC003,2022-03-16,59960,847.9,60.11,0.169,2190.6,195.5,0
SNS000301,AC003,2023-01-07,59968,839.4,53.42,0.265,2281.9,243.9,0
SNS000302,AC003,2024-06-17,59976,845.8,79.78,0.881,2410.2,217.5,1
SNS000303,AC003,2024-01-16,59984,846.7,71.8,0.619,2178.5,250.1,0
SNS000304,AC003,2024-08-14,59992,842.7,49.47,0.376,2438.9,187.7,0
SNS000305,AC003,2024-08-13,60000,846.0,52.43,0.787,2465.1,248.0,0
SNS000306,AC003,2022-01-10,60008,848.2,67.5,0.554,2303.2,224.1,0
SNS000307,AC003,2024-05-10,60016,853.5,45.5,0.75,2271.5,228.4,0
SNS000308,AC003,2023-12-12,60024,841.8,83.8,0.516,2515.0,253.6,0
SNS000309,AC003,2023-08-24,60032,850.9,81.96,0.882,2596.4,212.9,0
SNS000310,AC003,2024-10-13,60040,839.3,60.1,0.231,2297.8,219.4,0
SNS000311,AC003,2024-05-18,60048,847.9,74.53,0.435,2296.9,249.8,0
SNS000312,AC003,2023-11-17,60056,850.7,70.53,0.445,2409.5,245.5,0
SNS000313,AC003,2023-06-27,60064,854.3,73.58,0.439,2521.0,244.7,0
SNS000314,AC003,2024-06-26,60072,853.7,78.4,0.675,2458.5,190.4,0
SNS000315,AC003,2024-01-17,60080,849.0,64.37,0.602,2102.8,238.0,0
SNS000316,AC003,2024-12-09,60088,846.7,56.75,0.324,2411.9,206.6,0
SNS000317,AC003,2024-06-22,60096,852.3,57.9,0.597,2570.9,241.8,0
SNS000318,AC003,2022-01-15,60104,842.6,65.69,0.289,2366.8,254.0,0
SNS000319,AC003,2023-01-22,60112,843.7,68.9,0.318,2400.4,204.2,0
SNS000320,AC003,2024-12-10,60120,839.8,81.52,0.761,2114.6,197.7,0
SNS000321,AC003,2023-03-05,60128,841.1,76.87,0.332,2275.9,237.7,0
